,gemeente,VVD,CDA,PVV,D66,SP,GL,PVDA,CU,50PLUS,Partij voor de Dieren,SGP,Forum voor Democratie,DENK,VNL (VoorNederland),Piratenpartij,NIEUWE WEGEN,OndernemersPartij,Artikel 1,Lokaal in de Kamer,Niet Stemmers,De Burger Beweging,GeenPeil,Vrijzinnige Partij,JEZUS LEEFT,Libertarische Partij (LP),MenS en Spirit / Basisinkomen Partij / V-R,StemNL,Vrije Democratische Partij (VDP),Partij
0,Appingedam,889,1033,1095,605,1431,559,673,317,270,161,24,98,85,19,13.0,10,13,6.0,16.0,6.0,6.0,0.0,0.0,,1.0,,,,SP
1,Bedum,854,1446,503,682,885,664,546,828,138,186,97,85,0,12,20.0,6,9,0.0,10.0,4.0,5.0,1.0,0.0,,0.0,,,,CDA
2,Bellingwedde,821,555,1123,402,1069,411,551,163,223,271,16,119,1,9,24.0,12,11,1.0,6.0,3.0,3.0,1.0,1.0,,1.0,,,,PVV
3,De Marne,864,1105,828,457,902,574,542,521,172,269,81,97,1,21,14.0,7,14,0.0,1.0,4.0,0.0,1.0,2.0,,1.0,,,,CDA
4,Delfzijl,1975,2080,2401,1190,2540,1028,1322,797,723,345,86,235,268,58,55.0,14,19,9.0,13.0,13.0,8.0,8.0,3.0,,4.0,,,,SP
5,Eemsmond,1259,1731,1124,738,1667,763,960,1018,272,316,140,122,1,32,26.0,9,13,5.0,10.0,10.0,4.0,5.0,0.0,,1.0,,,,CDA
6,Groningen,17696,8621,8723,25973,14152,24642,10438,5757,2181,6737,453,2220,501,280,953.0,137,133,210.0,81.0,119.0,82.0,72.0,45.0,,33.0,,,,D66
7,Grootegast,1063,2052,867,497,781,413,342,809,185,132,175,144,1,28,20.0,9,16,0.0,5.0,7.0,4.0,1.0,3.0,,0.0,,,,CDA
8,Haren,2946,1526,656,2301,854,1863,1165,766,241,564,75,196,8,26,34.0,20,14,7.0,17.0,6.0,2.0,15.0,8.0,,3.0,,,,VVD
9,Hoogezand-Sappemeer,2832,1788,3050,1713,3753,1808,1907,820,900,576,73,300,497,66,65.0,26,27,13.0,36.0,15.0,11.0,9.0,5.0,,3.0,,,,SP
10,Leek,2145,1969,1372,1234,1478,1090,994,1045,391,297,143,201,21,30,36.0,14,18,3.0,15.0,11.0,6.0,4.0,8.0,,3.0,,,,VVD
11,Loppersum,693,1303,551,534,946,723,519,625,186,232,120,58,2,21,27.0,7,9,1.0,11.0,6.0,3.0,0.0,0.0,,1.0,,,,CDA
12,Marum,1264,1189,945,538,767,429,464,394,217,156,73,114,1,24,18.0,10,14,3.0,9.0,7.0,3.0,2.0,2.0,,4.0,,,,VVD
13,Menterwolde,1041,721,1376,632,1581,559,689,272,356,228,31,129,9,21,25.0,7,14,4.0,18.0,4.0,7.0,1.0,1.0,,1.0,,,,SP
14,Oldambt,3260,2412,4525,1837,4682,1715,2211,849,952,666,113,440,12,75,75.0,29,30,4.0,21.0,15.0,9.0,9.0,9.0,,6.0,,,,SP
15,Pekela,765,744,1791,372,1779,417,614,206,269,163,50,106,15,29,23.0,10,14,1.0,11.0,11.0,8.0,1.0,2.0,,3.0,,,,PVV
16,Slochteren,1590,1250,1088,921,1314,782,777,881,297,269,122,135,3,27,27.0,12,33,1.0,6.0,4.0,6.0,3.0,0.0,,2.0,,,,VVD
17,Stadskanaal,2310,3318,3150,1218,3250,990,1461,1865,742,345,279,345,7,53,54.0,17,28,3.0,32.0,18.0,13.0,6.0,3.0,,3.0,,,,CDA
18,Ten Boer,532,852,395,416,643,527,409,595,129,145,96,59,1,11,22.0,1,5,1.0,10.0,3.0,2.0,0.0,0.0,,0.0,,,,CDA
19,Veendam,2380,1702,2831,1561,3252,1183,1591,509,665,432,68,335,314,48,49.0,8,22,6.0,51.0,17.0,10.0,6.0,12.0,,6.0,,,,SP
20,Vlagtwedde,1492,1591,1887,662,1650,563,753,322,452,309,83,164,2,37,21.0,35,21,1.0,16.0,7.0,4.0,4.0,2.0,,5.0,,,,PVV
21,Winsum,1080,1579,585,875,1064,1128,984,861,208,348,107,110,0,26,37.0,13,7,4.0,17.0,7.0,9.0,0.0,2.0,,0.0,,,,CDA
22,Zuidhorn,1726,2322,823,1316,1203,1236,902,1887,220,304,266,130,5,32,28.0,13,12,9.0,7.0,8.0,5.0,4.0,6.0,,1.0,,,,CDA
23,Achtkarspelen,2013,4106,2872,903,1948,788,1085,1767,487,282,277,348,5,44,29.0,39,21,,18.0,,11.0,3.0,3.0,,5.0,,,,CDA
24,Ameland,715,613,265,261,174,173,240,54,75,69,8,80,0,5,8.0,2,8,,4.0,,0.0,1.0,0.0,,0.0,,,,VVD
25,Dantumadiel,1173,3118,1703,597,1484,551,698,1249,320,202,663,152,3,48,38.0,26,19,,7.0,,4.0,2.0,2.0,,2.0,,,,CDA
26,De Fryske Marren,7265,7443,3636,3164,3055,2205,2333,1037,958,755,360,612,53,122,71.0,80,61,,23.0,,33.0,24.0,15.0,,4.0,,,,CDA
27,Dongeradeel,1909,4556,1702,1019,1589,901,827,1190,396,382,213,289,3,51,38.0,23,16,,14.0,,9.0,5.0,10.0,,0.0,,,,CDA
28,Ferwerderadiel,780,1491,565,346,571,328,338,410,185,146,54,91,4,15,10.0,14,3,,0.0,,2.0,2.0,1.0,,1.0,,,,CDA
29,Franekeradeel,2268,2758,1446,1122,1363,1045,1028,562,429,342,61,222,11,45,38.0,28,14,,20.0,,8.0,8.0,9.0,,0.0,,,,CDA
30,Harlingen,1841,1360,1334,864,1233,771,846,367,435,347,48,240,15,47,31.0,43,16,,7.0,,1.0,5.0,1.0,,0.0,,,,VVD
31,Heerenveen,6259,4318,3120,3757,3781,2996,3378,1106,898,869,125,522,238,107,101.0,86,57,,31.0,,25.0,13.0,3.0,,0.0,,,,VVD
32,het Bildt,1092,1386,731,497,822,457,505,229,211,217,29,137,0,14,22.0,11,15,,6.0,,3.0,1.0,1.0,,2.0,,,,CDA
33,Kollumerland en Nieuwkruisland,1131,2251,1089,472,835,413,394,606,241,149,149,158,0,23,13.0,18,13,,11.0,,10.0,1.0,2.0,,5.0,,,,CDA
34,Leeuwarden,10422,7294,7221,9023,8194,8809,6964,2391,1913,3041,241,1487,334,248,354.0,176,103,,62.0,,57.0,45.0,35.0,,22.0,,,,VVD
35,Leeuwarderadeel,1161,1317,650,673,784,518,744,323,204,201,29,117,6,19,23.0,13,9,,9.0,,2.0,4.0,0.0,,3.0,,,,CDA
36,Littenseradiel,1422,1795,502,688,636,638,628,225,173,209,40,77,2,27,16.0,22,14,,8.0,,3.0,2.0,1.0,,2.0,,,,CDA
37,Menameradiel,1618,1737,849,924,972,760,885,333,250,215,48,136,3,30,21.0,34,13,,9.0,,2.0,2.0,2.0,,3.0,,,,CDA
38,Ooststellingwerf,2798,2746,2196,1488,1950,1300,1418,669,559,549,136,356,8,57,41.0,34,39,,21.0,,17.0,3.0,12.0,,4.0,,,,VVD
39,Opsterland,3271,3195,1793,1886,2281,1610,1856,1397,501,485,267,254,9,75,43.0,50,32,,18.0,,20.0,20.0,3.0,,2.0,,,,VVD
40,Schiermonnikoog,207,138,52,126,79,149,102,50,12,58,8,9,0,6,1.0,3,1,,0.0,,2.0,0.0,1.0,,0.0,,,,VVD
41,Smallingerland,5075,6048,3982,3200,4445,2800,3103,3235,971,901,500,559,71,104,110.0,136,43,,19.0,,25.0,16.0,9.0,,10.0,,,,CDA
42,SÌ¼dwest-FryslÌ¢n,10248,12420,5769,5164,5288,4145,3890,2094,1454,1401,289,993,100,190,159.0,337,69,,47.0,,34.0,30.0,22.0,,7.0,,,,CDA
43,Terschelling,1008,423,345,450,247,335,435,78,98,144,9,77,1,12,22.0,10,8,,2.0,,1.0,3.0,1.0,,1.0,,,,VVD
44,Tytsjerksteradiel,3099,5099,2216,1808,2130,1526,1611,1350,557,511,234,347,5,95,47.0,65,40,,14.0,,18.0,2.0,9.0,,8.0,,,,CDA
45,Vlieland,254,68,72,139,61,94,63,21,30,35,9,8,0,8,4.0,2,0,,0.0,,0.0,0.0,0.0,,0.0,,,,VVD
46,Weststellingwerf,3294,2668,2384,1453,2022,1247,1301,425,604,459,83,266,43,55,50.0,27,25,,16.0,,116.0,6.0,3.0,,3.0,,,,VVD
47,Aa en Hunze,4268,1740,1681,2163,1937,1534,1830,345,612,546,58,246,3,59,45.0,25,82,,22.0,,9.0,5.0,3.0,,2.0,,,,VVD
48,Assen,6993,4834,4193,5221,5050,4355,3851,3536,1152,1299,332,681,215,136,167.0,71,52,,40.0,,41.0,16.0,34.0,,10.0,,,,VVD
49,Borger-Odoorn,3280,2197,2520,1524,2434,1087,1490,652,612,469,124,338,0,57,47.0,22,25,,46.0,,22.0,7.0,6.0,,4.0,,,,VVD
50,Coevorden,5123,3839,3229,2100,2646,1333,1987,582,840,465,174,381,19,93,42.0,29,26,,18.0,,14.0,3.0,15.0,,1.0,,,,VVD
51,De Wolden,4452,3024,1527,1592,1200,959,1117,600,572,388,180,286,3,50,23.0,21,26,,20.0,,10.0,4.0,3.0,,6.0,,,,VVD
52,Emmen,9869,9455,12418,5367,10227,4304,5627,1953,3008,1412,328,1518,324,237,144.0,115,101,,80.0,,54.0,27.0,12.0,,8.0,,,,PVV
53,Hoogeveen,5385,6958,5307,2394,4292,1812,1993,2423,1194,582,693,720,147,135,70.0,45,49,,31.0,,14.0,6.0,6.0,,1.0,,,,CDA
54,Meppel,4590,2893,2159,2486,2396,1928,1614,1242,682,586,108,360,168,74,56.0,46,35,,14.0,,23.0,9.0,1.0,,7.0,,,,VVD
55,Midden-Drenthe,4555,3871,2466,2194,2422,1574,2007,902,807,523,215,411,9,82,43.0,20,40,,26.0,,19.0,12.0,10.0,,1.0,,,,VVD
56,Noordenveld,4441,2597,2270,2622,2062,2082,2180,851,643,617,98,313,1,48,41.0,32,34,,37.0,,11.0,5.0,5.0,,2.0,,,,VVD
57,Tynaarlo,5283,2509,1761,3401,1861,2485,2181,986,573,702,70,284,9,57,62.0,22,31,,52.0,,8.0,8.0,6.0,,5.0,,,,VVD
58,Westerveld,3316,1775,1267,1348,1217,1093,1252,377,483,518,80,206,2,56,23.0,20,20,,5.0,,11.0,6.0,5.0,,4.0,,,,VVD
59,Almelo,7503,6518,7520,4049,4595,2734,2389,1378,1265,886,216,688,1855,147,130.0,49,49,18.0,25.0,31.0,11.0,17.0,7.0,,,,,,PVV
60,Borne,3420,3576,1639,1839,1506,952,775,233,347,248,33,245,53,51,47.0,15,11,0.0,11.0,5.0,4.0,4.0,1.0,,,,,,CDA
61,Dalfsen,3620,5958,1462,1574,1258,800,797,1653,461,306,456,235,3,68,31.0,17,24,6.0,11.0,4.0,7.0,9.0,6.0,,,,,,CDA
62,Deventer,11349,6266,6522,9095,6379,7337,5123,1632,1810,2218,189,780,2279,188,230.0,78,56,38.0,42.0,43.0,48.0,40.0,16.0,,,,,,VVD
63,Dinkelland,4452,6560,1975,1466,1093,594,554,92,374,186,28,205,7,37,26.0,8,11,0.0,13.0,6.0,8.0,1.0,1.0,,,,,,CDA
64,Enschede,15236,11163,14331,12362,10653,8574,5837,3231,2124,2551,376,1690,2774,326,581.0,77,96,59.0,66.0,57.0,36.0,55.0,22.0,,,,,,VVD
65,Haaksbergen,3825,3916,1792,1736,1586,796,814,171,472,253,32,247,248,58,29.0,11,17,2.0,5.0,3.0,4.0,11.0,5.0,,,,,,CDA
66,Hardenberg,6705,9959,4347,2661,3351,1551,1710,4936,1168,522,764,640,30,134,74.0,34,56,9.0,30.0,15.0,16.0,15.0,10.0,,,,,,CDA
67,Hellendoorn,4622,7287,2498,2113,2239,1292,1063,1168,598,375,192,301,37,51,36.0,25,25,4.0,25.0,12.0,15.0,5.0,3.0,,,,,,CDA
68,Hengelo,9521,8438,6180,6532,6599,4113,3182,1240,1181,1328,143,873,1015,186,173.0,66,50,27.0,28.0,32.0,23.0,16.0,21.0,,,,,,VVD
69,Hof van Twente,6210,5851,2466,2560,1956,1200,1458,318,590,354,108,346,126,83,54.0,19,20,4.0,15.0,9.0,6.0,7.0,3.0,,,,,,VVD
70,Kampen,4543,6505,3769,2084,2626,1934,1373,4683,795,534,3630,475,378,82,83.0,31,15,13.0,13.0,17.0,9.0,6.0,8.0,,,,,,CDA
71,Losser,2900,3696,2338,1497,1436,668,583,136,508,213,15,228,44,38,29.0,9,17,2.0,16.0,6.0,3.0,3.0,0.0,,,,,,CDA
72,Oldenzaal,4777,4277,2525,2680,2186,1350,980,165,529,351,28,333,335,74,52.0,20,14,4.0,10.0,6.0,5.0,11.0,1.0,,,,,,VVD
73,Olst-Wijhe,2539,2421,1113,1376,1089,937,990,267,403,321,70,115,58,48,27.0,17,15,4.0,8.0,7.0,4.0,8.0,3.0,,,,,,VVD
74,Ommen,2082,3739,936,1006,726,488,475,1289,275,169,209,161,3,35,23.0,9,9,3.0,5.0,2.0,6.0,6.0,4.0,,,,,,CDA
75,Raalte,5988,7112,1860,2861,1969,1444,1117,423,797,322,61,281,104,64,38.0,37,22,4.0,21.0,10.0,13.0,12.0,3.0,,,,,,CDA
76,Rijssen-Holten,3646,5043,2316,1268,1149,688,810,2824,444,233,5899,303,153,63,28.0,23,22,2.0,13.0,12.0,12.0,3.0,5.0,,,,,,SGP
77,Staphorst,1095,1893,906,309,280,212,222,1771,136,111,3659,136,0,20,12.0,8,4,1.0,5.0,5.0,4.0,4.0,2.0,,,,,,SGP
78,Steenwijkerland,5924,5441,3455,2504,2620,1628,2028,1958,914,653,349,417,132,81,61.0,34,40,12.0,23.0,22.0,19.0,17.0,2.0,,,,,,VVD
79,Tubbergen,3222,5749,1599,973,748,374,314,75,285,119,38,185,1,48,16.0,7,11,1.0,6.0,3.0,2.0,3.0,5.0,,,,,,CDA
80,Twenterand,2966,6200,3287,1065,2018,589,712,2003,573,214,977,242,5,62,57.0,10,26,1.0,18.0,7.0,6.0,10.0,4.0,,,,,,CDA
81,Wierden,3750,4853,1808,1222,945,600,508,1264,306,158,630,216,18,41,18.0,12,15,0.0,15.0,5.0,4.0,7.0,0.0,,,,,,CDA
82,Zwartewaterland,1791,2742,1363,589,779,375,511,2334,258,145,2952,169,3,31,20.0,7,6,0.0,6.0,8.0,1.0,6.0,1.0,,,,,,SGP
83,Zwolle,14074,9060,6379,11912,6967,9374,5700,8334,1897,2727,798,1121,966,198,330.0,85,78,69.0,43.0,62.0,44.0,37.0,35.0,,,,,,VVD
84,Almere,22822,7151,17134,13311,9527,10890,6535,2859,5029,4251,274,2522,3120,657,668.0,256,179,2132.0,118.0,109.0,80.0,70.0,39.0,113.0,20.0,,,,VVD
85,Dronten,6477,4515,2957,2243,1851,1617,1044,1754,793,569,383,523,282,114,81.0,49,53,5.0,10.0,10.0,12.0,6.0,11.0,16.0,7.0,,,,VVD
86,Lelystad,8493,3825,7671,4147,4143,3796,2564,1590,1975,1670,333,921,1308,230,216.0,90,64,227.0,49.0,45.0,24.0,31.0,14.0,45.0,11.0,,,,VVD
87,Noordoostpolder,6283,5647,3238,2184,2357,1346,1280,2261,713,523,1221,494,203,108,66.0,39,38,15.0,26.0,20.0,27.0,19.0,8.0,52.0,3.0,,,,VVD
88,Urk,210,1680,1304,58,78,29,19,1376,55,22,6635,199,9,21,22.0,3,4,0.0,1.0,4.0,1.0,2.0,0.0,77.0,1.0,,,,SGP
89,Zeewolde,3713,1922,1743,1300,787,760,431,1158,365,364,226,326,49,72,48.0,15,27,7.0,8.0,6.0,6.0,3.0,5.0,19.0,1.0,,,,VVD
90,Berg en Dal,4717,3009,3567,2630,3487,2398,1361,180,746,844,38,309,37,59,61.0,16,28,15.0,14.0,11.0,11.0,6.0,6.0,5.0,4.0,,2.0,,VVD
91,Beuningen,4201,2107,2461,2010,2094,1293,814,146,628,345,23,263,50,71,44.0,21,23,9.0,13.0,8.0,6.0,5.0,4.0,4.0,1.0,,1.0,,VVD
92,Buren,4801,2077,3020,1567,1096,780,913,465,569,406,886,356,12,66,20.0,23,30,3.0,7.0,0.0,3.0,5.0,2.0,6.0,1.0,,1.0,,VVD
93,Culemborg,3673,1682,2316,2299,1269,2201,1149,504,488,657,175,271,770,55,52.0,23,14,28.0,13.0,11.0,21.0,4.0,5.0,15.0,2.0,,1.0,,VVD
94,Druten,3024,1525,1674,1442,1565,777,582,69,445,249,20,200,208,45,26.0,16,16,7.0,12.0,5.0,5.0,3.0,0.0,5.0,2.0,,1.0,,VVD
95,Geldermalsen,4408,2308,2860,1505,969,917,731,435,555,337,1745,363,57,69,44.0,13,15,4.0,6.0,5.0,0.0,8.0,2.0,5.0,1.0,,2.0,,VVD
96,Heumen,2708,1659,1064,1721,1224,1153,667,128,252,326,9,125,15,16,35.0,5,8,0.0,6.0,3.0,10.0,2.0,3.0,3.0,0.0,,0.0,,VVD
97,Lingewaal,1659,1241,1204,543,412,341,416,539,185,155,400,128,24,23,14.0,11,2,3.0,1.0,1.0,4.0,2.0,1.0,11.0,1.0,,0.0,,VVD
98,Maasdriel,3947,2852,3197,1148,1346,668,509,199,498,290,295,293,40,52,40.0,13,18,1.0,6.0,7.0,1.0,5.0,6.0,4.0,1.0,,1.0,,VVD
99,Neder-Betuwe,2144,1582,2033,673,759,404,689,677,384,183,4618,188,53,41,20.0,12,22,1.0,3.0,4.0,7.0,3.0,2.0,17.0,0.0,,0.0,,SGP
100,Neerijnen,1775,1134,1349,562,456,326,373,273,218,163,944,125,12,25,18.0,10,12,3.0,3.0,5.0,1.0,2.0,0.0,2.0,0.0,,0.0,,VVD
101,Nijmegen,15952,7384,10613,21666,12451,22391,7004,1432,2018,5219,152,1377,2152,203,468.0,111,80,192.0,58.0,82.0,97.0,45.0,38.0,45.0,19.0,,8.0,,GL
102,Tiel,5488,2319,4179,2479,2091,1982,1468,509,903,681,201,550,1084,104,73.0,73,25,14.0,24.0,12.0,20.0,18.0,10.0,20.0,0.0,,0.0,,VVD
103,West Maas en Waal,3545,1893,1931,1158,1718,671,495,69,466,272,18,196,5,57,28.0,27,19,3.0,9.0,4.0,4.0,4.0,4.0,6.0,1.0,,1.0,,VVD
104,Wijchen,6737,3592,3770,3340,3315,1892,1337,236,891,638,35,360,115,85,62.0,34,51,11.0,22.0,22.0,7.0,9.0,1.0,3.0,2.0,,1.0,,VVD
105,Zaltbommel,3489,2213,1957,1525,1189,974,776,1226,399,358,2520,287,160,49,37.0,23,12,6.0,8.0,6.0,6.0,1.0,4.0,7.0,0.0,,3.0,,VVD
106,Aalten,3324,4255,1657,1707,2217,1137,793,814,506,311,117,183,107,44,33.0,18,36,4.0,15.0,9.0,10.0,2.0,4.0,7.0,2.0,5.0,0.0,,CDA
107,Apeldoorn,22460,12862,11773,12410,8364,8902,5995,4938,3307,3063,3308,1691,2010,360,311.0,107,108,42.0,65.0,60.0,60.0,54.0,21.0,63.0,19.0,56.0,5.0,,VVD
108,Arnhem,15398,6093,10622,14765,9036,13047,5784,2180,2087,4658,221,1369,3268,237,424.0,108,90,224.0,50.0,68.0,54.0,34.0,46.0,69.0,23.0,59.0,4.0,,VVD
109,Barneveld,6384,6880,3557,1728,1159,973,698,4232,729,402,8136,481,373,105,57.0,32,37,10.0,16.0,10.0,22.0,9.0,5.0,34.0,8.0,8.0,0.0,,SGP
110,Berkelland,6702,6099,2995,3408,3834,1973,2017,419,782,575,80,382,69,118,54.0,24,64,12.0,33.0,15.0,9.0,4.0,10.0,2.0,2.0,17.0,2.0,,VVD
111,Bronckhorst,6323,5227,2253,2850,2272,1486,1467,512,734,592,225,326,25,80,36.0,28,44,10.0,17.0,6.0,14.0,3.0,6.0,13.0,5.0,12.0,2.0,,VVD
112,Brummen,3199,1712,1669,1671,1506,1152,1073,246,487,406,57,214,267,55,34.0,16,19,2.0,12.0,8.0,8.0,7.0,2.0,2.0,1.0,8.0,0.0,,VVD
113,Doesburg,1354,824,1054,877,1078,629,486,152,237,248,21,103,271,17,14.0,6,3,2.0,8.0,2.0,5.0,4.0,4.0,2.0,2.0,6.0,0.0,,VVD
114,Doetinchem,7576,4976,4485,4517,4459,2881,2291,815,1018,869,356,464,508,101,107.0,66,67,8.0,22.0,19.0,6.0,8.0,9.0,15.0,2.0,13.0,2.0,,VVD
115,Duiven,4219,2345,2132,2053,1770,1298,859,253,643,431,36,303,57,53,39.0,24,25,7.0,13.0,7.0,5.0,5.0,7.0,1.0,1.0,7.0,2.0,,VVD
116,Ede,13614,10686,7450,6581,3571,4585,2730,7348,1573,1610,9171,1100,1532,226,177.0,65,74,30.0,20.0,33.0,24.0,26.0,11.0,63.0,6.0,42.0,8.0,,VVD
117,Elburg,2357,2865,1523,719,738,437,378,2661,334,206,2280,140,2,40,25.0,10,6,6.0,3.0,6.0,5.0,5.0,2.0,23.0,3.0,3.0,1.0,,CDA
118,Epe,5077,3280,2592,2060,1600,1171,1364,1127,755,559,893,312,364,69,43.0,21,25,3.0,17.0,9.0,11.0,4.0,4.0,21.0,2.0,5.0,1.0,,VVD
119,Ermelo,3646,3574,1642,1321,924,978,604,2217,416,442,1201,295,68,49,41.0,19,11,6.0,10.0,4.0,3.0,14.0,6.0,26.0,5.0,4.0,0.0,,VVD
120,Harderwijk,6649,4908,3172,2485,1635,1882,1210,2854,752,709,790,454,1147,85,76.0,45,41,11.0,14.0,21.0,18.0,10.0,1.0,22.0,3.0,6.0,0.0,,VVD
121,Hattem,1512,1526,658,827,584,452,563,1342,169,132,180,92,21,25,12.0,4,4,2.0,2.0,1.0,1.0,2.0,0.0,26.0,0.0,3.0,0.0,,CDA
122,Heerde,2233,2620,1528,902,928,509,697,1599,333,223,468,153,22,32,26.0,10,6,0.0,5.0,5.0,1.0,2.0,1.0,11.0,0.0,1.0,1.0,,CDA
123,Lingewaard,8125,4261,3774,4035,3353,2245,1496,289,1078,727,37,485,50,84,61.0,22,38,6.0,20.0,10.0,13.0,10.0,7.0,9.0,3.0,6.0,2.0,,VVD
124,Lochem,6413,3651,1551,3464,1763,2160,1644,404,627,656,69,302,201,63,43.0,23,26,7.0,11.0,20.0,9.0,5.0,6.0,1.0,1.0,12.0,0.0,,VVD
125,Montferland,5486,4284,4015,2148,2744,1237,997,150,875,486,39,361,105,74,61.0,22,30,9.0,19.0,13.0,5.0,13.0,6.0,7.0,3.0,11.0,2.0,,VVD
126,Nijkerk,6043,4877,3363,2083,1244,1269,966,2835,668,464,1862,392,334,78,55.0,33,23,9.0,12.0,10.0,10.0,3.0,10.0,17.0,4.0,4.0,2.0,,VVD
127,Nunspeet,2836,2925,1810,791,692,509,387,2420,340,276,4396,209,37,66,33.0,9,12,1.0,6.0,4.0,4.0,3.0,0.0,29.0,0.0,6.0,1.0,,SGP
128,Oldebroek,1831,2863,1775,644,777,392,485,3018,322,164,2203,174,5,37,13.0,8,9,1.0,11.0,7.0,2.0,5.0,3.0,39.0,0.0,2.0,0.0,,CU
129,Oost Gelre,4853,4780,1768,2316,2115,1119,920,114,749,296,39,261,73,78,29.0,32,40,3.0,23.0,2.0,5.0,12.0,4.0,4.0,1.0,14.0,0.0,,VVD
130,Oude IJsselstreek,5606,4707,3043,2755,3394,1538,1360,373,885,502,63,288,620,80,48.0,22,96,6.0,27.0,18.0,10.0,6.0,9.0,8.0,6.0,11.0,4.0,,VVD
131,Overbetuwe,7459,4543,3679,4078,2695,2222,1492,906,862,749,609,467,117,84,58.0,40,34,4.0,18.0,14.0,12.0,6.0,5.0,8.0,2.0,9.0,2.0,,VVD
132,Putten,3560,3368,1836,818,619,471,369,2182,348,246,1916,208,38,36,15.0,8,15,2.0,3.0,7.0,5.0,2.0,1.0,21.0,3.0,5.0,0.0,,VVD
133,Renkum,5001,2524,1879,3518,1471,2439,1469,579,524,909,125,286,92,49,50.0,22,13,8.0,8.0,13.0,11.0,4.0,7.0,6.0,2.0,15.0,1.0,,VVD
134,Rheden,5829,3091,3529,4016,3157,2868,2176,744,763,1151,132,370,322,86,82.0,41,33,16.0,14.0,21.0,16.0,11.0,4.0,22.0,0.0,15.0,0.0,,VVD
135,Rijnwaarden,1447,958,1309,655,958,373,309,63,347,163,12,130,6,27,17.0,8,7,1.0,4.0,4.0,4.0,2.0,5.0,1.0,0.0,6.0,2.0,,VVD
136,Rozendaal,456,115,61,197,17,85,65,24,21,40,5,16,0,1,1.0,0,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,,VVD
137,Scherpenzeel,1418,1059,712,336,216,158,167,561,109,62,1281,123,10,25,5.0,3,6,0.0,5.0,1.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0,,VVD
138,Voorst,4340,2960,1444,1994,1394,953,1003,313,544,319,301,210,58,53,25.0,10,26,0.0,14.0,12.0,12.0,1.0,3.0,6.0,1.0,4.0,3.0,,VVD
139,Wageningen,3232,1853,1418,5485,1678,4760,1775,1124,378,1040,233,270,92,37,118.0,20,11,23.0,8.0,14.0,15.0,11.0,10.0,8.0,4.0,8.0,1.0,,D66
140,Westervoort,1859,1202,1484,1186,1275,803,606,204,378,298,20,161,70,27,24.0,15,11,5.0,6.0,6.0,3.0,6.0,3.0,5.0,5.0,7.0,1.0,,VVD
141,Winterswijk,4174,2835,1707,2279,2160,1572,1482,363,618,369,64,276,155,94,39.0,16,38,5.0,10.0,9.0,10.0,3.0,9.0,10.0,3.0,11.0,1.0,,VVD
142,Zevenaar,4947,3262,2778,2487,2527,1511,1286,209,836,563,26,310,186,64,44.0,34,22,8.0,20.0,18.0,5.0,6.0,6.0,4.0,5.0,10.0,0.0,,VVD
143,Zutphen,4971,2799,2944,4137,3760,4005,2517,910,859,1689,109,371,553,74,95.0,38,40,22.0,10.0,14.0,24.0,20.0,13.0,22.0,5.0,22.0,9.0,,VVD
144,Amersfoort,20255,9192,8611,14970,6766,11847,5408,6585,1988,3373,910,1404,3414,286,401.0,147,91,123.0,,57.0,40.0,59.0,28.0,40.0,26.0,35.0,6.0,,VVD
145,Baarn,4438,1764,1529,2394,931,1413,862,586,417,593,192,298,246,57,48.0,14,14,15.0,,8.0,7.0,7.0,2.0,4.0,22.0,8.0,0.0,,VVD
146,Bunnik,2505,1494,798,1700,462,1362,685,328,206,310,161,136,14,16,32.0,14,9,8.0,,2.0,12.0,7.0,3.0,1.0,1.0,1.0,0.0,,VVD
147,Bunschoten,2040,3342,1775,342,310,258,169,3428,242,98,1015,223,95,29,26.0,6,5,4.0,,4.0,0.0,2.0,0.0,63.0,1.0,5.0,1.0,,CU
148,De Bilt,7620,2923,2378,4603,1650,3247,1703,999,586,1124,893,393,234,85,91.0,31,23,18.0,,17.0,6.0,14.0,9.0,12.0,4.0,12.0,0.0,,VVD
149,De Ronde Venen,9331,3921,3294,3435,1170,1916,1211,914,811,812,446,612,207,128,80.0,35,59,19.0,,13.0,11.0,9.0,6.0,7.0,6.0,14.0,0.0,,VVD
150,Eemnes,1906,804,640,800,344,374,342,170,185,207,56,150,8,23,18.0,9,10,1.0,,4.0,5.0,1.0,0.0,4.0,1.0,3.0,0.0,,VVD
151,Houten,7958,3810,3147,4622,1827,3129,1734,1968,831,863,728,448,155,104,94.0,29,40,47.0,,9.0,6.0,15.0,7.0,11.0,4.0,5.0,1.0,,VVD
152,IJsselstein,5783,2634,2804,2996,1447,1630,1036,517,693,551,212,368,399,87,44.0,19,25,35.0,,8.0,8.0,6.0,4.0,15.0,3.0,4.0,0.0,,VVD
153,Leusden,5464,2968,1501,2896,1167,1770,1037,1186,490,596,376,395,73,63,62.0,21,25,12.0,,13.0,12.0,11.0,6.0,6.0,5.0,11.0,0.0,,VVD
154,Lopik,2199,1761,1438,566,438,339,268,724,250,170,727,139,69,45,17.0,10,11,3.0,,6.0,7.0,2.0,2.0,9.0,0.0,5.0,2.0,,VVD
