gemeente,VVD,PVDA,PVV,SP,CDA,D66,CU,GL,SGP,Partij voor de Dieren,50PLUS,Piratenpartij,Partij voor Mens en Spirit (MenS),SOPN,Partij van de Toekomst (PvdT),Democratisch Politiek Keerpunt DPK,Libertarische Partij (LP),Nederland Lokaal,Liberaal Democratische Partij (LibDem),Anti Europa Partij,Politieke Partij NXD,Partij
Medemblik,8645,4681,2505,1967,2781,1581,588,407,222,520,808,66,55,66,38,21,14,3,2,8,0,VVD
Meerssen,2872,2591,1652,1476,1222,806,59,233,14,205,247,27,55,15,17,14,4,2,6,0,0,VVD
Menameradiel,1686,3041,506,721,1250,430,250,137,37,105,83,14,12,6,7,5,2,5,2,1,0,PVDA
Menterwolde,1193,2964,762,1004,329,307,245,119,29,136,97,17,4,8,9,12,3,0,3,1,0,PVDA
Meppel,5131,5801,1549,1771,1685,1322,1017,414,107,299,273,54,48,45,18,13,7,5,5,4,0,PVDA
Middelburg,5273,7476,2031,2729,2435,1856,1696,744,2368,633,437,94,53,36,23,14,11,7,7,7,0,PVDA
Middelharnis,2629,1840,1115,686,820,404,948,113,1864,152,174,26,5,6,10,6,4,1,0,0,0,VVD
Midden-Delfland,4628,1732,821,504,1715,978,357,233,63,167,175,35,24,6,9,10,2,1,0,2,0,VVD
Midden-Drenthe,5371,6630,1461,1683,2620,1126,798,387,159,272,287,41,41,30,7,25,10,5,0,15,0,PVDA
Mill en Sint Hubert,1891,1022,680,1491,993,272,21,68,4,54,131,11,8,12,3,8,7,0,2,1,0,VVD
Millingen aan de Rijn,695,1114,339,592,224,167,10,48,6,62,74,19,5,3,3,1,1,1,0,0,0,PVDA
Moerdijk,6171,4057,2581,2412,2029,1151,545,259,107,412,543,48,29,19,17,16,3,8,7,4,0,VVD
Montferland,5351,5139,2533,2412,2624,1079,94,232,23,293,393,43,40,28,18,13,7,5,7,2,0,VVD
Montfoort,3054,1291,713,395,900,595,422,119,445,104,148,36,16,6,4,12,2,5,9,0,0,VVD
Mook en Middelaar,1457,1120,349,722,413,514,34,133,3,107,69,8,18,7,5,0,3,0,1,0,0,VVD
Muiden,1394,891,299,217,293,589,28,100,6,94,74,11,4,4,1,4,1,1,1,1,0,VVD
Naarden,4800,1886,533,400,653,1362,125,271,47,211,161,19,10,10,8,7,4,1,1,2,0,VVD
Neder-Betuwe,2803,2326,1293,555,820,390,586,85,3916,127,143,16,7,7,8,7,4,1,5,3,0,SGP
Nederlek,2680,2019,961,645,629,480,380,104,572,222,142,27,9,4,12,6,5,0,2,3,0,VVD
Nederweert,3017,1656,1405,1129,1359,491,29,146,2,116,174,25,25,14,10,12,5,4,0,2,0,VVD
Neerijnen,2267,1258,894,419,622,321,229,80,875,97,91,7,7,3,1,4,0,0,3,4,0,VVD
Nieuwegein,9508,9079,4435,3272,2169,2394,737,725,194,651,943,132,62,38,25,18,20,8,9,16,0,VVD
Nieuwkoop,6579,2291,1697,769,1960,1080,451,231,314,234,336,40,32,9,13,14,3,10,0,0,0,VVD
Nieuw-Lekkerland,830,882,448,258,442,122,754,36,1604,61,55,9,7,3,5,3,0,0,0,0,0,SGP
Nijkerk,7389,3448,2191,1188,3084,1315,2367,295,1748,269,411,37,34,27,18,17,2,4,7,6,0,VVD
Nijmegen,15609,31236,6882,14458,4705,12347,933,5755,109,2191,1360,435,230,110,63,40,32,14,30,9,0,PVDA
Noord-Beveland,1427,954,478,435,478,250,130,62,209,98,83,10,14,11,1,9,1,8,0,0,0,VVD
Noordenveld,4985,6579,1370,1633,1518,1448,654,482,82,307,232,39,39,20,16,13,11,4,2,3,0,PVDA
Noordoostpolder,7597,4688,2408,1861,3816,1386,2097,341,1021,297,332,63,55,36,36,12,5,4,1,3,0,VVD
Noordwijk,6596,2730,1517,860,1150,1138,199,288,63,295,377,41,21,27,17,6,9,0,2,6,0,VVD
Noordwijkerhout,3883,1458,981,597,980,684,68,189,14,171,265,30,22,10,12,8,4,0,1,2,0,VVD
Nuenen Gerwen en Nederwetten,4638,2969,1042,1648,1478,1438,90,292,11,195,297,22,29,14,7,11,2,3,1,0,0,VVD
Nunspeet,3989,1558,1214,667,1877,525,2223,149,4013,156,147,20,14,6,10,10,1,2,1,0,0,SGP
Nuth,2205,1950,1616,1228,1183,534,34,206,8,184,213,22,25,7,7,27,8,2,2,2,0,VVD
Oegstgeest,5093,2942,684,689,1008,2206,370,444,74,298,195,60,23,11,5,5,5,3,2,1,0,VVD
Oirschot,3348,1764,1045,1537,1500,764,32,124,4,108,264,36,13,14,12,2,2,1,2,0,0,VVD
