gemeente,CDA,CU,D66,Evangelische Partij Nederland,GL,Heel NL,Lijst 17,Nieuw Nederland,PVV,Partij TTn,PVDA,Partij voor Mens en Spirit (MenS),Partij voor de Dieren,Piratenpartij,SP,SGP,TROTS OP NEDERLAND LIJST RITA VERDONK,VVD,Partij
's-Gravenhage,18710.0,4429.0,28075.0,,22687.0,,252.0,77.0,43725.0,94.0,63042.0,740.0,4901.0,399.0,18234.0,1054.0,1240.0,59925.0,PVDA
's-Hertogenbosch,8228.0,620.0,6761.0,,6364.0,16.0,65.0,9.0,14356.0,21.0,15401.0,265.0,1053.0,110.0,10209.0,51.0,549.0,16720.0,VVD
Aa en Hunze,1259.0,254.0,1040.0,,1159.0,,5.0,7.0,1608.0,5.0,4744.0,46.0,201.0,14.0,1491.0,19.0,64.0,4057.0,PVDA
Aalburg,1553.0,820.0,162.0,,152.0,,4.0,3.0,1224.0,,491.0,10.0,60.0,2.0,423.0,1575.0,33.0,1136.0,SGP
Aalsmeer,2738.0,613.0,1169.0,,807.0,,14.0,6.0,2499.0,1.0,2170.0,28.0,212.0,12.0,967.0,81.0,105.0,6024.0,VVD
Aalten,4329.0,754.0,704.0,5.0,725.0,3.0,15.0,9.0,1868.0,2.0,2700.0,39.0,149.0,1.0,2193.0,53.0,74.0,2478.0,CDA
Abcoude,718.0,105.0,580.0,,420.0,2.0,4.0,,498.0,1.0,937.0,11.0,56.0,7.0,241.0,35.0,20.0,1789.0,VVD
Achtkarspelen,4185.0,1700.0,367.0,13.0,511.0,,8.0,3.0,2290.0,1.0,3257.0,28.0,132.0,7.0,1559.0,180.0,49.0,1577.0,CDA
Alblasserdam,1381.0,1041.0,396.0,,372.0,,5.0,,1557.0,2.0,1929.0,15.0,102.0,5.0,827.0,1511.0,43.0,1733.0,PVDA
Albrandswaard,1662.0,366.0,879.0,,624.0,2.0,12.0,3.0,2909.0,3.0,1838.0,26.0,209.0,7.0,1206.0,175.0,88.0,4193.0,VVD
Alkmaar,4605.0,782.0,4451.0,9.0,5321.0,14.0,50.0,17.0,6993.0,13.0,13400.0,229.0,1011.0,69.0,6250.0,56.0,402.0,10172.0,PVDA
Almelo,5441.0,1269.0,2128.0,,1759.0,5.0,14.0,8.0,7001.0,9.0,8379.0,117.0,336.0,53.0,3984.0,97.0,261.0,6306.0,PVDA
Almere,4850.0,1947.0,5990.0,78.0,6120.0,,81.0,19.0,16641.0,32.0,22295.0,296.0,1505.0,158.0,8857.0,118.0,770.0,24377.0,VVD
Alphen aan den Rijn,5165.0,1752.0,3286.0,,2749.0,7.0,42.0,15.0,5773.0,10.0,7198.0,105.0,546.0,38.0,3588.0,472.0,245.0,10889.0,VVD
Alphen-Chaam,1612.0,27.0,312.0,,240.0,1.0,8.0,1.0,896.0,,649.0,16.0,56.0,4.0,531.0,3.0,51.0,1521.0,CDA
Ameland,724.0,54.0,152.0,,196.0,,,2.0,371.0,,581.0,21.0,26.0,2.0,178.0,12.0,14.0,600.0,CDA
Amersfoort,8384.0,5016.0,7518.0,,7706.0,15.0,47.0,25.0,9527.0,17.0,17167.0,281.0,1036.0,110.0,6874.0,704.0,320.0,18222.0,VVD
Amstelveen,4200.0,753.0,4890.0,,3541.0,,44.0,11.0,5089.0,12.0,9637.0,164.0,709.0,48.0,2962.0,88.0,160.0,12929.0,VVD
Amsterdam,12705.0,3405.0,45613.0,123.0,48190.0,,226.0,93.0,36172.0,189.0,135816.0,917.0,6927.0,603.0,27890.0,274.0,1067.0,64798.0,PVDA
Andijk,680.0,251.0,174.0,,182.0,,1.0,1.0,612.0,1.0,514.0,16.0,66.0,3.0,364.0,56.0,29.0,891.0,VVD
Anna Paulowna,1244.0,152.0,444.0,2.0,385.0,1.0,4.0,2.0,1328.0,13.0,1286.0,20.0,95.0,6.0,762.0,12.0,74.0,2587.0,VVD
Apeldoorn,12125.0,4103.0,6605.0,19.0,5785.0,40.0,62.0,28.0,11407.0,18.0,18737.0,297.0,1271.0,87.0,8341.0,2496.0,424.0,18379.0,PVDA
Appingedam,891.0,296.0,272.0,,334.0,,2.0,,960.0,,2152.0,16.0,89.0,3.0,918.0,16.0,26.0,805.0,PVDA
Arnhem,5862.0,1626.0,7399.0,18.0,8402.0,20.0,81.0,16.0,10749.0,23.0,19393.0,254.0,1427.0,120.0,9726.0,128.0,289.0,13559.0,PVDA
Assen,3753.0,3142.0,2301.0,,2762.0,6.0,30.0,9.0,3919.0,11.0,10702.0,114.0,449.0,48.0,4320.0,192.0,147.0,6268.0,PVDA
Asten,2530.0,46.0,432.0,,410.0,3.0,14.0,1.0,1585.0,1.0,1216.0,32.0,71.0,10.0,1225.0,8.0,95.0,2010.0,CDA
Baarle-Nassau,1011.0,26.0,160.0,,152.0,,4.0,,710.0,,409.0,18.0,56.0,2.0,409.0,1.0,30.0,774.0,CDA
Baarn,1816.0,544.0,1385.0,,1110.0,5.0,6.0,5.0,1888.0,3.0,2433.0,37.0,232.0,20.0,1016.0,109.0,58.0,4115.0,VVD
Barendrecht,3036.0,1070.0,1584.0,,1432.0,4.0,15.0,6.0,4822.0,2.0,3460.0,57.0,370.0,34.0,2065.0,1112.0,143.0,7442.0,VVD
Barneveld,7477.0,3431.0,839.0,17.0,753.0,,11.0,4.0,3675.0,1.0,2166.0,37.0,154.0,18.0,1143.0,6236.0,139.0,5739.0,CDA
Bedum,1353.0,815.0,272.0,4.0,416.0,,4.0,,520.0,1.0,1517.0,10.0,77.0,3.0,646.0,64.0,27.0,702.0,PVDA
Beek,1709.0,47.0,505.0,,496.0,3.0,6.0,3.0,2905.0,1.0,1497.0,29.0,151.0,12.0,1166.0,3.0,77.0,1670.0,PVV
Beemster,708.0,41.0,375.0,,314.0,,3.0,,749.0,1.0,919.0,9.0,71.0,6.0,412.0,1.0,38.0,1778.0,VVD
Beesel,1300.0,28.0,338.0,,303.0,,2.0,1.0,2304.0,,1114.0,20.0,91.0,13.0,897.0,5.0,51.0,1258.0,PVV
Bellingwedde,391.0,124.0,180.0,1.0,303.0,,10.0,,1031.0,1.0,1618.0,21.0,105.0,1.0,876.0,18.0,22.0,817.0,PVDA
Bergambacht,865.0,452.0,294.0,,193.0,2.0,2.0,,728.0,1.0,929.0,7.0,72.0,5.0,390.0,711.0,26.0,1437.0,VVD
Bergeijk,3030.0,65.0,461.0,,372.0,3.0,9.0,1.0,1853.0,6.0,1199.0,27.0,99.0,9.0,1281.0,4.0,109.0,2112.0,CDA
Bergen,1659.0,25.0,257.0,,272.0,3.0,4.0,,1831.0,1.0,829.0,18.0,66.0,4.0,1317.0,6.0,68.0,1151.0,PVV
Bergen (1),2447.0,121.0,1612.0,2.0,1823.0,3.0,17.0,7.0,2667.0,12.0,3690.0,138.0,423.0,14.0,1400.0,12.0,123.0,5553.0,VVD
Bergen op Zoom,4350.0,310.0,2329.0,,2003.0,7.0,23.0,3.0,7224.0,8.0,6438.0,78.0,431.0,35.0,3813.0,44.0,301.0,7638.0,VVD
Berkelland,5370.0,373.0,1745.0,,1391.0,5.0,25.0,7.0,3150.0,6.0,5788.0,94.0,243.0,16.0,2858.0,34.0,152.0,5939.0,VVD
Bernheze,4046.0,67.0,935.0,,649.0,,16.0,1.0,2354.0,2.0,2111.0,46.0,137.0,14.0,2713.0,1.0,111.0,3434.0,CDA
Bernisse,1099.0,256.0,338.0,,296.0,,7.0,1.0,1473.0,,1065.0,17.0,115.0,10.0,680.0,80.0,57.0,2114.0,VVD
Best,2754.0,273.0,1195.0,,763.0,,19.0,6.0,2706.0,4.0,2512.0,40.0,157.0,19.0,2048.0,22.0,140.0,3822.0,VVD
Beuningen,2025.0,106.0,926.0,,844.0,4.0,21.0,1.0,2631.0,2.0,2639.0,25.0,130.0,7.0,2095.0,14.0,91.0,3270.0,VVD
Beverwijk,2083.0,183.0,1351.0,,1607.0,,16.0,8.0,4175.0,7.0,4256.0,64.0,325.0,32.0,2274.0,26.0,165.0,4376.0,VVD
Binnenmaas,2572.0,734.0,823.0,,796.0,1.0,17.0,3.0,2877.0,,2825.0,25.0,273.0,13.0,1440.0,1009.0,102.0,4405.0,VVD
Bladel,2727.0,72.0,525.0,,501.0,2.0,10.0,3.0,1793.0,2.0,1314.0,52.0,111.0,10.0,1558.0,2.0,104.0,2166.0,CDA
Blaricum,689.0,51.0,567.0,,320.0,,6.0,1.0,619.0,1.0,798.0,25.0,81.0,4.0,343.0,11.0,23.0,2294.0,VVD
Bloemendaal,1695.0,148.0,1747.0,,923.0,,8.0,3.0,954.0,10.0,2035.0,44.0,222.0,17.0,532.0,20.0,36.0,5528.0,VVD
Boarnsterhim,1433.0,192.0,796.0,1.0,855.0,,9.0,5.0,1004.0,2.0,3418.0,44.0,80.0,5.0,1341.0,22.0,41.0,2414.0,PVDA
Bodegraven,2219.0,836.0,563.0,,503.0,1.0,6.0,,1544.0,4.0,1504.0,23.0,115.0,8.0,789.0,688.0,57.0,2660.0,VVD
Boekel,1545.0,23.0,252.0,,190.0,1.0,7.0,1.0,894.0,1.0,534.0,10.0,56.0,6.0,878.0,3.0,51.0,1055.0,CDA
Bolsward,1393.0,185.0,277.0,2.0,325.0,,4.0,1.0,606.0,1.0,1388.0,18.0,64.0,3.0,785.0,24.0,25.0,762.0,CDA
Borger-Odoorn,1881.0,568.0,726.0,,825.0,2.0,2.0,7.0,2180.0,,4421.0,67.0,197.0,11.0,1544.0,50.0,96.0,3177.0,PVDA
Borne,2923.0,181.0,890.0,,610.0,1.0,9.0,3.0,1640.0,1.0,2383.0,43.0,77.0,8.0,1447.0,9.0,76.0,2382.0,CDA
Borsele,2747.0,428.0,525.0,,540.0,,8.0,5.0,1759.0,1.0,1765.0,27.0,188.0,12.0,1062.0,2011.0,103.0,2170.0,CDA
Boskoop,1619.0,425.0,528.0,,545.0,1.0,9.0,1.0,1226.0,,1197.0,36.0,112.0,11.0,555.0,340.0,38.0,2380.0,VVD
Boxmeer,3388.0,87.0,725.0,,593.0,1.0,14.0,,2082.0,1.0,1765.0,27.0,107.0,10.0,6013.0,17.0,83.0,2918.0,SP
Boxtel,2704.0,121.0,1301.0,,1053.0,4.0,7.0,2.0,2474.0,6.0,3164.0,47.0,190.0,17.0,2379.0,17.0,114.0,3251.0,VVD
Breda,10920.0,716.0,9099.0,,7261.0,23.0,94.0,12.0,13777.0,19.0,18217.0,390.0,1238.0,127.0,10048.0,76.0,515.0,23767.0,VVD
Breukelen,1405.0,502.0,682.0,,494.0,2.0,7.0,2.0,1081.0,1.0,1139.0,16.0,84.0,7.0,560.0,462.0,39.0,2488.0,VVD
Brielle,913.0,129.0,577.0,,443.0,2.0,9.0,1.0,1724.0,,1401.0,37.0,124.0,6.0,1075.0,29.0,89.0,2718.0,VVD
Bronckhorst,5388.0,432.0,1306.0,2.0,1104.0,5.0,20.0,2.0,2658.0,3.0,4352.0,77.0,230.0,11.0,2018.0,142.0,130.0,5304.0,CDA
Brummen,1420.0,189.0,738.0,,739.0,11.0,8.0,1.0,1735.0,,3066.0,45.0,144.0,7.0,1333.0,31.0,90.0,2830.0,PVDA
Brunssum,1826.0,215.0,504.0,,766.0,3.0,7.0,4.0,5699.0,2.0,2721.0,62.0,252.0,12.0,2442.0,16.0,170.0,1816.0,PVV
Bunnik,1618.0,207.0,864.0,,1017.0,,6.0,,848.0,1.0,1598.0,36.0,118.0,4.0,580.0,120.0,29.0,2167.0,VVD
Bunschoten,3822.0,3201.0,158.0,,179.0,2.0,9.0,,1665.0,,513.0,3.0,49.0,5.0,263.0,357.0,43.0,1579.0,CDA
Buren,1887.0,396.0,856.0,,680.0,4.0,17.0,6.0,2925.0,2.0,2537.0,17.0,216.0,8.0,906.0,665.0,109.0,4374.0,VVD
Bussum,1894.0,314.0,2218.0,,1524.0,,21.0,9.0,1938.0,6.0,3300.0,73.0,287.0,18.0,1242.0,47.0,66.0,6127.0,VVD
Capelle aan den IJssel,3422.0,1385.0,2144.0,,1804.0,4.0,34.0,4.0,6726.0,6.0,6410.0,86.0,582.0,47.0,3234.0,1870.0,169.0,7518.0,VVD
Castricum,3167.0,202.0,1964.0,6.0,1944.0,1.0,20.0,1.0,2491.0,4.0,4293.0,108.0,294.0,14.0,1787.0,18.0,132.0,5806.0,VVD
Coevorden,3397.0,509.0,993.0,,964.0,,6.0,4.0,2952.0,,5440.0,70.0,205.0,11.0,1958.0,87.0,111.0,4687.0,PVDA
Cranendonck,2491.0,71.0,501.0,,415.0,1.0,4.0,3.0,2511.0,3.0,1441.0,30.0,122.0,15.0,1668.0,10.0,101.0,2325.0,PVV
Cromstrijen,1006.0,253.0,413.0,,349.0,,4.0,3.0,1191.0,1.0,1242.0,10.0,97.0,6.0,634.0,450.0,48.0,2113.0,VVD
Cuijk,2253.0,47.0,769.0,,670.0,2.0,15.0,,2083.0,2.0,2393.0,22.0,127.0,16.0,3001.0,2.0,75.0,2429.0,SP
Culemborg,1495.0,400.0,1183.0,,1393.0,2.0,11.0,2.0,2661.0,7.0,3442.0,63.0,180.0,18.0,1326.0,125.0,62.0,3490.0,VVD
Dalfsen,5012.0,1658.0,688.0,,700.0,1.0,16.0,2.0,1574.0,2.0,2413.0,26.0,85.0,14.0,1241.0,287.0,89.0,2788.0,CDA
Dantumadiel,2832.0,1282.0,252.0,2.0,369.0,,4.0,2.0,1556.0,3.0,2104.0,35.0,86.0,9.0,1248.0,472.0,23.0,912.0,CDA
De Bilt,3103.0,867.0,2794.0,,2286.0,3.0,18.0,1.0,2788.0,4.0,4481.0,113.0,417.0,22.0,1959.0,746.0,104.0,7164.0,VVD
De Marne,1050.0,502.0,202.0,1.0,477.0,,5.0,1.0,716.0,,1588.0,24.0,124.0,7.0,693.0,39.0,34.0,916.0,PVDA
De Ronde Venen,3563.0,760.0,1314.0,,854.0,,19.0,8.0,3185.0,2.0,2287.0,59.0,231.0,29.0,1238.0,301.0,120.0,6951.0,VVD
De Wolden,2655.0,509.0,866.0,,789.0,1.0,10.0,,1694.0,3.0,2840.0,63.0,155.0,10.0,1037.0,88.0,108.0,4049.0,VVD
Delft,4737.0,1444.0,7410.0,,5695.0,8.0,37.0,32.0,7536.0,16.0,11419.0,102.0,818.0,135.0,4594.0,249.0,229.0,10117.0,PVDA
Delfzijl,1774.0,864.0,556.0,9.0,642.0,,7.0,3.0,2302.0,2.0,4072.0,25.0,201.0,15.0,1855.0,45.0,75.0,2018.0,PVDA
Den Helder,3054.0,962.0,1568.0,17.0,1666.0,4.0,27.0,3.0,6755.0,10.0,5518.0,80.0,475.0,45.0,3116.0,161.0,407.0,6949.0,VVD
Deurne,4443.0,87.0,834.0,,740.0,5.0,12.0,2.0,3179.0,2.0,2207.0,61.0,119.0,14.0,2639.0,3.0,195.0,3572.0,CDA
Deventer,5716.0,1379.0,5048.0,,4957.0,14.0,46.0,28.0,6143.0,10.0,14629.0,154.0,681.0,70.0,5617.0,94.0,330.0,9575.0,PVDA
Diemen,833.0,170.0,1030.0,,1134.0,,14.0,,2093.0,5.0,3664.0,31.0,214.0,15.0,1169.0,10.0,72.0,2878.0,PVDA
Dinkelland,6112.0,130.0,683.0,,545.0,1.0,8.0,3.0,2241.0,,1748.0,45.0,80.0,13.0,1110.0,4.0,94.0,3150.0,CDA
Dirksland,695.0,390.0,127.0,,114.0,,1.0,3.0,832.0,,595.0,7.0,58.0,2.0,376.0,1024.0,28.0,840.0,SGP
Doesburg,735.0,111.0,508.0,2.0,412.0,1.0,3.0,2.0,984.0,1.0,1435.0,19.0,94.0,9.0,1078.0,16.0,26.0,1154.0,PVDA
Doetinchem,4817.0,600.0,1973.0,3.0,2006.0,8.0,14.0,11.0,4625.0,3.0,7381.0,112.0,353.0,24.0,3955.0,291.0,142.0,5857.0,PVDA
Dongen,2269.0,169.0,908.0,,719.0,6.0,16.0,1.0,2192.0,1.0,2305.0,31.0,173.0,9.0,2173.0,18.0,93.0,3080.0,VVD
Dongeradeel,4309.0,1178.0,449.0,2.0,640.0,,7.0,1.0,1561.0,,2586.0,59.0,154.0,13.0,1525.0,120.0,57.0,1491.0,CDA
Dordrecht,5833.0,3007.0,3872.0,,4294.0,10.0,35.0,11.0,10954.0,26.0,12557.0,143.0,1059.0,94.0,7028.0,1638.0,320.0,11490.0,PVDA
Drechterland,1893.0,82.0,708.0,3.0,644.0,2.0,7.0,4.0,1659.0,3.0,1673.0,35.0,147.0,7.0,1039.0,9.0,106.0,3461.0,VVD
Drimmelen,2683.0,102.0,845.0,,763.0,1.0,11.0,1.0,2879.0,2.0,2348.0,51.0,195.0,11.0,1716.0,16.0,127.0,3447.0,VVD
Dronten,4082.0,1436.0,1207.0,8.0,1117.0,,18.0,4.0,3054.0,6.0,2979.0,71.0,203.0,20.0,1698.0,192.0,150.0,6346.0,VVD
Druten,1617.0,51.0,630.0,,514.0,,14.0,3.0,1830.0,,1899.0,16.0,95.0,7.0,1499.0,3.0,59.0,2125.0,VVD
Duiven,2224.0,223.0,927.0,,857.0,2.0,10.0,3.0,2286.0,,2728.0,29.0,170.0,9.0,1800.0,11.0,68.0,3518.0,VVD
Echt-Susteren,3818.0,119.0,625.0,,940.0,5.0,10.0,2.0,6088.0,3.0,2527.0,79.0,302.0,17.0,2172.0,9.0,116.0,2576.0,PVV
Edam-Volendam,3456.0,99.0,581.0,,612.0,4.0,5.0,3.0,5563.0,1.0,1603.0,54.0,176.0,12.0,912.0,22.0,140.0,4537.0,PVV
Ede,11418.0,6427.0,3251.0,16.0,3071.0,13.0,51.0,85.0,8005.0,7.0,8143.0,128.0,595.0,51.0,3511.0,6832.0,257.0,12390.0,VVD
Eemnes,788.0,149.0,429.0,,319.0,2.0,8.0,2.0,686.0,,827.0,11.0,84.0,4.0,360.0,35.0,32.0,1618.0,VVD
Eemsmond,1599.0,1009.0,277.0,1.0,587.0,,8.0,1.0,1040.0,,2651.0,24.0,148.0,14.0,1063.0,101.0,30.0,1189.0,PVDA
Eersel,3082.0,70.0,625.0,,502.0,1.0,15.0,4.0,1558.0,,1342.0,22.0,87.0,13.0,1213.0,3.0,105.0,2201.0,CDA
Eijsden,1205.0,26.0,339.0,,363.0,1.0,5.0,2.0,1524.0,2.0,1127.0,21.0,85.0,2.0,794.0,4.0,40.0,1189.0,PVV
Eindhoven,12199.0,1548.0,10049.0,,9088.0,18.0,139.0,30.0,18490.0,36.0,23448.0,359.0,1465.0,235.0,15729.0,114.0,580.0,20950.0,PVDA
Elburg,2993.0,2273.0,350.0,14.0,331.0,,3.0,5.0,1572.0,,1189.0,15.0,75.0,4.0,721.0,1769.0,47.0,2018.0,CDA
Emmen,8690.0,1753.0,2430.0,,2902.0,10.0,37.0,28.0,10414.0,14.0,17409.0,188.0,625.0,59.0,6635.0,169.0,375.0,8297.0,PVDA
Enkhuizen,1148.0,221.0,659.0,1.0,718.0,,5.0,4.0,1603.0,4.0,2256.0,40.0,185.0,14.0,1312.0,130.0,54.0,2201.0,PVDA
Enschede,9148.0,3094.0,6922.0,,5567.0,12.0,76.0,26.0,12676.0,29.0,19891.0,201.0,920.0,143.0,8835.0,184.0,417.0,14009.0,PVDA
Epe,3337.0,1021.0,1071.0,5.0,882.0,3.0,17.0,5.0,2632.0,,3951.0,57.0,233.0,5.0,1474.0,640.0,119.0,4411.0,VVD
Ermelo,3840.0,1853.0,740.0,20.0,743.0,1.0,11.0,8.0,1753.0,2.0,1782.0,43.0,166.0,10.0,1048.0,895.0,55.0,3125.0,CDA
Etten-Leur,3292.0,208.0,1393.0,,1120.0,3.0,24.0,2.0,4270.0,5.0,3813.0,58.0,244.0,27.0,2758.0,14.0,171.0,5341.0,VVD
Ferwerderadiel,1422.0,344.0,178.0,,226.0,,,2.0,530.0,,950.0,15.0,70.0,4.0,586.0,25.0,11.0,659.0,CDA
Franekeradeel,2400.0,515.0,484.0,2.0,679.0,,8.0,1.0,1337.0,,2866.0,43.0,112.0,8.0,1431.0,41.0,46.0,1877.0,PVDA
Gaasterlân-Sleat,1735.0,249.0,297.0,,351.0,,4.0,1.0,718.0,,1106.0,32.0,72.0,2.0,631.0,144.0,31.0,1113.0,CDA
Geertruidenberg,1705.0,91.0,586.0,,592.0,2.0,6.0,3.0,2447.0,,1977.0,39.0,121.0,13.0,1579.0,22.0,108.0,2517.0,VVD
Geldermalsen,2334.0,424.0,825.0,,718.0,3.0,13.0,4.0,2812.0,3.0,2208.0,29.0,143.0,13.0,1005.0,1402.0,123.0,4054.0,VVD
Geldrop-Mierlo,3516.0,211.0,1446.0,,1363.0,7.0,16.0,7.0,3979.0,2.0,3491.0,62.0,264.0,30.0,3278.0,9.0,139.0,4092.0,VVD
Gemert-Bakel,4054.0,69.0,624.0,,724.0,3.0,17.0,2.0,3003.0,4.0,1900.0,34.0,138.0,9.0,2709.0,6.0,158.0,2878.0,CDA
Gennep,1605.0,48.0,620.0,,402.0,5.0,12.0,,1590.0,,1486.0,34.0,85.0,4.0,2074.0,7.0,56.0,1619.0,SP
Giessenlanden,1785.0,895.0,384.0,,294.0,2.0,5.0,1.0,1088.0,1.0,1338.0,15.0,63.0,7.0,622.0,449.0,39.0,2249.0,VVD
Gilze en Rijen,2397.0,83.0,869.0,,779.0,4.0,18.0,2.0,2603.0,4.0,2513.0,25.0,151.0,14.0,1844.0,9.0,119.0,2988.0,VVD
Goedereede,1361.0,501.0,202.0,,156.0,1.0,,5.0,944.0,,714.0,19.0,62.0,1.0,385.0,1654.0,32.0,1394.0,SGP
Goes,3716.0,940.0,1230.0,,1352.0,,15.0,4.0,2508.0,1.0,4089.0,61.0,316.0,24.0,2175.0,1391.0,116.0,3775.0,PVDA
Goirle,2003.0,62.0,1010.0,,753.0,4.0,16.0,,2101.0,2.0,2416.0,20.0,148.0,7.0,1963.0,3.0,113.0,2916.0,VVD
Gorinchem,1844.0,921.0,1212.0,,1161.0,2.0,15.0,1.0,2877.0,10.0,4179.0,46.0,242.0,22.0,1938.0,348.0,91.0,3842.0,PVDA
Gouda,3969.0,2195.0,3131.0,,3266.0,2.0,26.0,12.0,6524.0,12.0,8908.0,92.0,587.0,54.0,3335.0,1638.0,276.0,7088.0,PVDA
Graafstroom,1596.0,931.0,134.0,,145.0,,3.0,1.0,505.0,1.0,438.0,11.0,27.0,1.0,277.0,988.0,16.0,902.0,CDA
Graft-De Rijp,562.0,18.0,285.0,1.0,238.0,,2.0,2.0,543.0,,791.0,5.0,43.0,4.0,357.0,1.0,28.0,1231.0,VVD
Grave,1222.0,47.0,417.0,,423.0,1.0,10.0,1.0,1181.0,1.0,1090.0,20.0,93.0,6.0,1219.0,2.0,75.0,1561.0,VVD
Groesbeek,1983.0,75.0,574.0,,727.0,5.0,9.0,4.0,2156.0,1.0,2327.0,29.0,149.0,5.0,1542.0,8.0,57.0,1683.0,PVDA
Groningen,7330.0,4990.0,12480.0,54.0,14558.0,,125.0,16.0,8534.0,32.0,33124.0,345.0,1877.0,238.0,13319.0,318.0,254.0,17693.0,PVDA
Grootegast,1981.0,780.0,195.0,5.0,275.0,,5.0,,842.0,,1072.0,16.0,72.0,1.0,632.0,87.0,30.0,861.0,CDA
Gulpen-Wittem,1966.0,99.0,360.0,,619.0,1.0,5.0,,2424.0,1.0,1393.0,43.0,142.0,1.0,1015.0,7.0,45.0,1326.0,PVV
Haaksbergen,3600.0,129.0,903.0,,607.0,2.0,9.0,7.0,2127.0,2.0,2479.0,48.0,117.0,7.0,1480.0,14.0,110.0,2995.0,CDA
Haaren,1825.0,52.0,469.0,,416.0,1.0,8.0,2.0,1022.0,,1022.0,27.0,90.0,9.0,846.0,2.0,63.0,1842.0,VVD
Haarlem,6188.0,1210.0,9334.0,,9812.0,,94.0,15.0,10450.0,39.0,22081.0,317.0,1765.0,128.0,7891.0,129.0,403.0,16363.0,PVDA
Haarlemmerliede en Spaarnwoude,443.0,27.0,267.0,,208.0,,2.0,1.0,557.0,,561.0,11.0,47.0,6.0,241.0,4.0,19.0,957.0,VVD
Haarlemmermeer,8886.0,1759.0,5981.0,,4223.0,,72.0,29.0,13160.0,28.0,12651.0,205.0,1091.0,97.0,5500.0,452.0,581.0,25393.0,VVD
Halderberge,2744.0,108.0,763.0,,644.0,3.0,18.0,2.0,3637.0,2.0,2486.0,37.0,154.0,27.0,1857.0,16.0,185.0,3395.0,PVV
Hardenberg,9114.0,4703.0,1059.0,,1145.0,2.0,26.0,7.0,4138.0,5.0,5439.0,71.0,263.0,29.0,2746.0,497.0,175.0,5343.0,CDA
Harderwijk,5085.0,2651.0,1320.0,14.0,1310.0,9.0,16.0,8.0,3148.0,3.0,3612.0,70.0,289.0,35.0,1654.0,520.0,101.0,5669.0,VVD
Hardinxveld-Giessendam,1797.0,1880.0,197.0,,224.0,6.0,4.0,3.0,1315.0,1.0,1180.0,11.0,65.0,5.0,539.0,1954.0,40.0,1488.0,SGP
Haren,1490.0,626.0,1229.0,1.0,1248.0,,7.0,2.0,760.0,1.0,2952.0,39.0,158.0,6.0,733.0,51.0,18.0,2856.0,PVDA
Harenkarspel,1685.0,78.0,560.0,,593.0,1.0,7.0,2.0,1282.0,5.0,1498.0,50.0,137.0,12.0,812.0,5.0,90.0,2580.0,VVD
Harlingen,1065.0,350.0,396.0,3.0,586.0,,3.0,1.0,1276.0,,2297.0,28.0,113.0,9.0,1372.0,22.0,46.0,1534.0,PVDA
Hattem,1375.0,1255.0,405.0,2.0,315.0,3.0,4.0,1.0,655.0,1.0,1550.0,21.0,49.0,6.0,482.0,131.0,31.0,1154.0,PVDA
Heemskerk,2911.0,313.0,1537.0,,1684.0,,19.0,7.0,3675.0,4.0,4288.0,78.0,356.0,29.0,2292.0,20.0,166.0,4820.0,VVD
Heemstede,1993.0,179.0,2146.0,,1213.0,,10.0,2.0,1267.0,7.0,2754.0,48.0,227.0,11.0,759.0,28.0,37.0,5710.0,VVD
Heerde,2595.0,1567.0,450.0,5.0,376.0,,7.0,,1307.0,,1927.0,24.0,131.0,4.0,688.0,254.0,52.0,1872.0,CDA
Heerenveen,2958.0,848.0,1523.0,6.0,1667.0,,20.0,3.0,2652.0,5.0,7589.0,81.0,275.0,30.0,2819.0,71.0,84.0,4647.0,PVDA
Heerhugowaard,3254.0,522.0,1858.0,5.0,1844.0,7.0,30.0,5.0,4051.0,6.0,5287.0,105.0,361.0,42.0,3130.0,22.0,248.0,7075.0,VVD
Heerlen,5161.0,394.0,1865.0,,2456.0,13.0,30.0,16.0,13818.0,6.0,8444.0,216.0,746.0,76.0,8724.0,35.0,363.0,5152.0,PVV
Heeze-Leende,2246.0,68.0,616.0,,404.0,1.0,7.0,1.0,1300.0,1.0,1140.0,20.0,91.0,5.0,1176.0,3.0,71.0,2265.0,VVD
Heiloo,1940.0,134.0,1362.0,,1240.0,4.0,15.0,3.0,1395.0,1.0,2843.0,55.0,227.0,9.0,914.0,15.0,88.0,4077.0,VVD
Hellendoorn,7194.0,1223.0,933.0,,904.0,1.0,16.0,4.0,2660.0,2.0,3155.0,37.0,166.0,13.0,2099.0,115.0,105.0,3245.0,CDA
Hellevoetsluis,1571.0,357.0,1034.0,,1116.0,9.0,20.0,8.0,5297.0,5.0,3474.0,70.0,378.0,20.0,2321.0,72.0,166.0,5923.0,VVD
Helmond,5437.0,272.0,2223.0,,2246.0,9.0,44.0,6.0,10420.0,4.0,7349.0,112.0,457.0,56.0,7010.0,13.0,377.0,8622.0,PVV
Hendrik-Ido-Ambacht,2062.0,998.0,677.0,,548.0,2.0,16.0,5.0,2465.0,,2033.0,18.0,157.0,10.0,1136.0,1895.0,71.0,3624.0,VVD
Hengelo,7178.0,1096.0,3323.0,,2727.0,12.0,29.0,5.0,6012.0,4.0,10358.0,138.0,477.0,76.0,6360.0,60.0,222.0,8170.0,PVDA
