gemeente,CDA,CU,D66,Evangelische Partij Nederland,GL,Heel NL,Lijst 17,Nieuw Nederland,PVV,Partij TTn,PVDA,Partij voor Mens en Spirit (MenS),Partij voor de Dieren,Piratenpartij,SP,SGP,TROTS OP NEDERLAND LIJST RITA VERDONK,VVD,Partij
Sint-Oedenrode,2678.0,45.0,576.0,,450.0,,6.0,1.0,1478.0,3.0,1491.0,20.0,60.0,15.0,1517.0,4.0,66.0,2161.0,CDA
Sittard-Geleen,8094.0,345.0,2356.0,,3503.0,9.0,42.0,10.0,15111.0,8.0,9135.0,213.0,795.0,39.0,6764.0,28.0,406.0,7396.0,PVV
Skarsterlân,3459.0,553.0,758.0,3.0,867.0,,11.0,,1779.0,2.0,3752.0,63.0,126.0,18.0,1774.0,43.0,84.0,3073.0,PVDA
Sliedrecht,1833.0,1522.0,443.0,,469.0,2.0,8.0,4.0,1928.0,,2094.0,23.0,146.0,11.0,1322.0,1940.0,59.0,2057.0,PVDA
Slochteren,994.0,878.0,453.0,1.0,626.0,,5.0,2.0,1143.0,1.0,2236.0,25.0,126.0,6.0,902.0,82.0,50.0,1601.0,PVDA
Sluis,2231.0,220.0,606.0,,646.0,,10.0,1.0,2367.0,,2534.0,26.0,166.0,11.0,1330.0,102.0,152.0,3130.0,VVD
Smallingerland,5466.0,3025.0,1377.0,25.0,1864.0,,17.0,8.0,3498.0,1.0,8478.0,123.0,272.0,28.0,3796.0,259.0,90.0,4092.0,PVDA
Sneek,2888.0,674.0,1127.0,4.0,1234.0,,11.0,5.0,2251.0,,4760.0,65.0,237.0,20.0,2447.0,28.0,68.0,3401.0,PVDA
Soest,3358.0,896.0,2336.0,,1689.0,6.0,23.0,2.0,3758.0,11.0,4178.0,128.0,405.0,36.0,1799.0,328.0,130.0,8318.0,VVD
Someren,2862.0,68.0,439.0,,350.0,1.0,12.0,2.0,2099.0,1.0,1141.0,34.0,68.0,8.0,1316.0,2.0,96.0,2081.0,CDA
Son en Breugel,1791.0,87.0,729.0,,487.0,3.0,2.0,2.0,1135.0,1.0,1231.0,20.0,94.0,8.0,981.0,10.0,57.0,2590.0,VVD
Spijkenisse,2634.0,792.0,1646.0,,1790.0,8.0,30.0,5.0,10438.0,5.0,6995.0,76.0,678.0,46.0,4926.0,202.0,344.0,7838.0,PVV
Stadskanaal,3248.0,1774.0,500.0,3.0,670.0,,9.0,2.0,2672.0,2.0,4710.0,37.0,194.0,14.0,2019.0,123.0,107.0,2020.0,PVDA
Staphorst,1993.0,1675.0,171.0,,159.0,,4.0,3.0,901.0,,583.0,12.0,31.0,6.0,287.0,2860.0,26.0,1051.0,SGP
Stede Broec,1841.0,154.0,652.0,,636.0,5.0,10.0,2.0,2300.0,6.0,1915.0,56.0,168.0,8.0,1448.0,32.0,115.0,2892.0,VVD
Steenbergen,2043.0,186.0,559.0,,498.0,1.0,9.0,1.0,3149.0,2.0,1940.0,38.0,190.0,14.0,1371.0,136.0,105.0,2820.0,PVV
Steenwijkerland,5052.0,1768.0,1163.0,,1258.0,7.0,14.0,6.0,3399.0,6.0,5385.0,100.0,218.0,28.0,2264.0,194.0,166.0,5196.0,PVDA
Stein,2214.0,68.0,612.0,,705.0,2.0,5.0,4.0,4977.0,2.0,2175.0,73.0,240.0,21.0,2143.0,12.0,132.0,2113.0,PVV
Strijen,786.0,325.0,230.0,,260.0,,2.0,1.0,935.0,2.0,792.0,19.0,92.0,5.0,475.0,148.0,33.0,1316.0,VVD
Ten Boer,719.0,569.0,178.0,1.0,310.0,,1.0,2.0,398.0,2.0,1132.0,15.0,39.0,10.0,506.0,76.0,10.0,520.0,PVDA
Terneuzen,4440.0,1479.0,1183.0,,1280.0,,22.0,7.0,5580.0,3.0,5443.0,54.0,321.0,32.0,2880.0,1148.0,285.0,4834.0,PVV
Terschelling,528.0,85.0,327.0,2.0,516.0,,4.0,,404.0,,1126.0,15.0,48.0,1.0,342.0,9.0,15.0,995.0,PVDA
Texel,1519.0,216.0,711.0,3.0,830.0,2.0,8.0,4.0,1120.0,2.0,2032.0,25.0,133.0,7.0,945.0,62.0,41.0,2477.0,VVD
Teylingen,3574.0,371.0,1846.0,,1263.0,3.0,17.0,4.0,2833.0,3.0,2961.0,62.0,260.0,36.0,1395.0,50.0,125.0,6659.0,VVD
Tholen,2149.0,893.0,322.0,,352.0,,3.0,3.0,2357.0,1.0,1812.0,15.0,150.0,7.0,1199.0,3250.0,82.0,2125.0,SGP
Tiel,1952.0,423.0,1384.0,,1221.0,3.0,20.0,,4154.0,6.0,4791.0,50.0,277.0,25.0,1902.0,143.0,143.0,5050.0,VVD
Tilburg,11489.0,743.0,9044.0,,8100.0,23.0,157.0,19.0,17014.0,24.0,21691.0,268.0,1343.0,144.0,13759.0,85.0,824.0,20666.0,PVDA
Tubbergen,5368.0,67.0,415.0,,310.0,1.0,7.0,2.0,1874.0,2.0,1016.0,35.0,47.0,10.0,809.0,19.0,92.0,2311.0,CDA
Twenterand,5969.0,2153.0,460.0,,478.0,3.0,6.0,4.0,2814.0,2.0,2624.0,19.0,140.0,15.0,1452.0,690.0,148.0,2110.0,CDA
